Mojar Bhoot,Humayun Ahmed,https://www.amarbooks.org/thumbs/1482510611.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Mojar%20Bhoot.pdf,6.84 MB
Kishore Horror - Vol-06,Sheba Mix,https://www.amarbooks.org/thumbs/1491193327.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Kishore%20Horror%20-%20Vol-06.pdf,3.46 MB
Bhoutik Galpo Samagra,Shirshendu Mukhopadhyay,https://www.amarbooks.org/thumbs/1467535582.jpg,http://www.amarbooks.com/FreeDownload.php?w=Shirshendu%20Mukhopadhyay&f=Bhoutik%20Galpo%20Samagra.pdf,22.47 MB
Pret Sadhok - Khusru Chowdhury,Sheba Mix,https://www.amarbooks.org/thumbs/1491356057.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Pret%20Sadhok%20-%20Khusru%20Chowdhury.pdf,4.17 MB
Vuture Ghori,Shirshendu Mukhopadhyay,https://www.amarbooks.org/thumbs/1485106405.jpg,http://www.amarbooks.com/FreeDownload.php?w=Shirshendu%20Mukhopadhyay&f=Vuture%20Ghori.pdf,2.09 MB
Oshuvo-13 - Anish Das Apu,Sheba Mix,https://www.amarbooks.org/thumbs/1491296904.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Oshuvo-13%20-%20Anish%20Das%20Apu.pdf,5.2 MB
Vuter Golpo,Taslima Nasrin,https://www.amarbooks.org/thumbs/1464950300.jpg,http://www.amarbooks.com/FreeDownload.php?w=Taslima%20Nasrin&f=Vuter%20Golpo.pdf,0.12 MB
Vuture Chaya - Ishtiaq Hasan,Sheba Mix,https://www.amarbooks.org/thumbs/1491356295.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Vuture%20Chaya%20-%20Ishtiaq%20Hasan.pdf,6.5 MB
Horror Seven - Anish Das Apu,Anubad eBooks,https://www.amarbooks.org/thumbs/1569134804.jpg,http://www.amarbooks.com/FreeDownload.php?w=Anubad%20eBooks&f=Horror%20Seven%20-%20Anish%20Das%20Apu.pdf,9.31 MB
Brihonnola,Humayun Ahmed,https://www.amarbooks.org/thumbs/1464925392.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Brihonnola.pdf,4.45 MB
Vuture Ghori,Shirshendu Mukhopadhyay,https://www.amarbooks.org/thumbs/1485106405.jpg,http://www.amarbooks.com/FreeDownload.php?w=Shirshendu%20Mukhopadhyay&f=Vuture%20Ghori.pdf,2.09 MB
Pret,Muhammed Zafar Iqbal,https://www.amarbooks.org/thumbs/1489221525.jpg,http://www.amarbooks.com/FreeDownload.php?w=Muhammed%20Zafar%20Iqbal&f=Pret.pdf,4.3 MB
Pishacer Pallay - Anish Das Apu,Sheba Mix,https://www.amarbooks.org/thumbs/1491355869.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Pishacer%20Pallay%20-%20Anish%20Das%20Apu.pdf,2.25 MB
Vuter Golpo,Taslima Nasrin,https://www.amarbooks.org/thumbs/1464950300.jpg,http://www.amarbooks.com/FreeDownload.php?w=Taslima%20Nasrin&f=Vuter%20Golpo.pdf,0.12 MB
Mrityu Putul - Anish Das Apu,Sheba Mix,https://www.amarbooks.org/thumbs/1491296539.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Mrityu%20Putul%20-%20Anish%20Das%20Apu.pdf,3.89 MB
Botol Bhut,Humayun Ahmed,https://www.amarbooks.org/thumbs/1542080732.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Botol%20Bhut.pdf,3.29 MB
Krishno Pokkho,Humayun Ahmed,https://www.amarbooks.org/thumbs/1542090524.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Krishno%20Pokkho.pdf,0.31 MB
Bhuter Nam Ramakanto Kamar,Imdadul Haq Milon,https://www.amarbooks.org/thumbs/1464941776.jpg,http://www.amarbooks.com/FreeDownload.php?w=Imdadul%20Haq%20Milon&f=Bhuter%20Nam%20Ramakanto%20Kamar.pdf,7.48 MB
Brihonnola,Humayun Ahmed,https://www.amarbooks.org/thumbs/1464925392.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Brihonnola.pdf,4.45 MB
Dhooshar Atanko - Anish Das Apu,Sheba Mix,https://www.amarbooks.org/thumbs/1491208834.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Dhooshar%20Atanko%20-%20Anish%20Das%20Apu.pdf,2.7 MB
Vuter Golpo,Taslima Nasrin,https://www.amarbooks.org/thumbs/1464950300.jpg,http://www.amarbooks.com/FreeDownload.php?w=Taslima%20Nasrin&f=Vuter%20Golpo.pdf,0.12 MB
Kutu Mia,Humayun Ahmed,https://www.amarbooks.org/thumbs/1509684828.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Kutu%20Mia.pdf,9.32 MB
Chayabritto - Anish Das Apu,Sheba Mix,https://www.amarbooks.org/thumbs/1491208744.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Chayabritto%20-%20Anish%20Das%20Apu.pdf,5.53 MB
Bhoy,Humayun Ahmed,https://www.amarbooks.org/thumbs/1464925373.jpg,http://www.amarbooks.com/FreeDownload.php?w=Humayun%20Ahmed&f=Bhoy.pdf,7.37 MB
Chapakhanai Ekta Bhut Thake,Anisul Haque,https://www.amarbooks.org/thumbs/1464934258.jpg,http://www.amarbooks.com/FreeDownload.php?w=Anisul%20Haque&f=Chapakhanai%20Ekta%20Bhut%20Thake.pdf,2.02 MB
Chayabritto - Anish Das Apu,Sheba Mix,https://www.amarbooks.org/thumbs/1491208744.jpg,http://www.amarbooks.com/FreeDownload.php?w=Sheba%20Mix&f=Chayabritto%20-%20Anish%20Das%20Apu.pdf,5.53 MB
Voutik,Anubad eBooks,https://www.amarbooks.org/thumbs/1529645773.jpg,http://www.amarbooks.com/FreeDownload.php?w=Anubad%20eBooks&f=Voutik.pdf,1.26 MB
